"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_GlobalMaskTexture1SplitTilingOffset_B","Tiling/Offset","Mosaico/Desplazamiento (Canal B)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (B通道)","Мозаика/Смещение"
"_GlobalMaskTexture1SplitPan_B","Panning","Barrido (Canal B)","Bewegung","パンニング","패닝","平移 (B通道)","Прокрутка"
"_GlobalMaskTexture1SplitTilingOffset_A","Tiling/Offset","Mosaico/Desplazamiento (Canal A)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (A通道)","Мозаика/Смещение"
"_GlobalMaskTexture1SplitPan_A","Panning","Barrido (Canal A)","Bewegung","パンニング","패닝","平移 (A通道)","Прокрутка"
"_GlobalMaskTexture1Split","Split Sampling","Muestreo dividido por canal","Split-Sampling","分割サンプリング","분할 샘플링","通道分割采样","Раздельная Выборка"
"_GlobalMaskTexture1UV","UV","UV","UV","UV","UV","UV","UV"
"_GlobalMaskTexture2","Global Mask Texture 3","Textura de máscara global 3","Globale Maskentextur 3","グローバル マスク テクスチャ 3","글로벌 마스크 텍스처 3","全局遮罩纹理 3","Текстура Глобальной Маски 3"
"_GlobalMaskTexture2Pan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_GlobalMaskTexture2SplitTilingOffset_G","Tiling/Offset","Mosaico/Desplazamiento (Canal G)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (G通道)","Мозаика/Смещение"
"_GlobalMaskTexture2SplitPan_G","Panning","Barrido (Canal G)","Bewegung","パンニング","패닝","平移 (G通道)","Прокрутка"
"_GlobalMaskTexture2SplitTilingOffset_B","Tiling/Offset","Mosaico/Desplazamiento (Canal B)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (B通道)","Мозаика/Смещение"
"_GlobalMaskTexture2SplitPan_B","Panning","Barrido (Canal B)","Bewegung","パンニング","패닝","平移 (B通道)","Прокрутка"
"_GlobalMaskTexture2SplitTilingOffset_A","Tiling/Offset","Mosaico/Desplazamiento (Canal A)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (A通道)","Мозаика/Смещение"
"_GlobalMaskTexture2SplitPan_A","Panning","Barrido (Canal A)","Bewegung","パンニング","패닝","平移 (A通道)","Прокрутка"
"_GlobalMaskTexture2Split","Split Sampling","Muestreo dividido por canal","Split-Sampling","分割サンプリング","분할 샘플링","通道分割采样","Раздельная Выборка"
"_GlobalMaskTexture2UV","UV","UV","UV","UV","UV","UV","UV"
"_GlobalMaskTexture3","Global Mask Texture 4","Textura de máscara global 4","Globale Maskentextur 4","グローバル マスク テクスチャ 4","글로벌 마스크 텍스처 4","全局遮罩纹理 4","Текстура Глобальной Маски 4"
"_GlobalMaskTexture3Pan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_GlobalMaskTexture3SplitTilingOffset_G","Tiling/Offset","Mosaico/Desplazamiento (Canal G)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (G通道)","Мозаика/Смещение"
"_GlobalMaskTexture3SplitPan_G","Panning","Barrido (Canal G)","Bewegung","パンニング","패닝","平移 (G通道)","Прокрутка"
"_GlobalMaskTexture3SplitTilingOffset_B","Tiling/Offset","Mosaico/Desplazamiento (Canal B)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (B通道)","Мозаика/Смещение"
"_GlobalMaskTexture3SplitPan_B","Panning","Barrido (Canal B)","Bewegung","パンニング","패닝","平移 (B通道)","Прокрутка"
"_GlobalMaskTexture3SplitTilingOffset_A","Tiling/Offset","Mosaico/Desplazamiento (Canal A)","Kacheln/Offset","Tiling/Offset","타일링/오프셋","平铺/偏移 (A通道)","Мозаика/Смещение"
"_GlobalMaskTexture3SplitPan_A","Panning","Barrido (Canal A)","Bewegung","パンニング","패닝","平移 (A通道)","Прокрутка"
"_GlobalMaskTexture3Split","Split Sampling","Muestreo dividido por canal","Split-Sampling","分割サンプリング","분할 샘플링","通道分割采样","Раздельная Выборка"
"_GlobalMaskTexture3UV","UV","UV","UV","UV","UV","UV","UV"
"m_start_GlobalMaskModifiers","Modifiers","Modificadores de máscara global","Modifikatoren","モーディファイアー","수정자","全局遮罩修改器","Модификаторы"
"m_start_GlobalMaskModifiersBackface","Backface Masking","Modificadores de máscara global por cara trasera","Rückseitenmaskierung","裏面マスキング","뒷면 마스킹","背面遮罩","Маскирование Обратной Стороны"
"_GlobalMaskModifiersBackfaceEnable","Global Mask Backface Enable","Activar máscara por cara trasera","Globale Maskenrückseite aktivieren","グローバル マスク バックフェイスの有効化","글로벌 마스크 뒷면 활성화","启用全局遮罩背面","Включить Глобальную Маску Обратной Стороны"
"_GlobalMaskBackface_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskBackface_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskBackface_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskBackface_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskBackface_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskBackface_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskBackface_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskBackface_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskBackface_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskBackface_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskBackface_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskBackface_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskBackface_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskBackface_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskBackface_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskBackface_15","4A","4A","4A","4A","4A","4A","4A"
"m_start_GlobalMaskModifiersMirror","Mirror Masking","Máscara global en espejo","Spiegelmaskierung","ミラーマスキング","거울 마스킹","镜像遮罩","Маскирование Зеркала"
"_GlobalMaskModifiersMirrorEnable","Global Mask Mirror Enable","Activar máscara en espejo","Globale Maskenspiegelung aktivieren","グローバル マスク ミラーの有効化","글로벌 마스크 거울 활성화","启用全局遮罩镜像","Включить Глобальную Маску Зеркала"
"_GlobalMaskMirrorVisibilityMode","Mirror Detection Mode","Modo de detección del espejo","Spiegelerkennungsmodus","ミラー検出モード","거울 감지 모드","镜像检测模式","Режим Обнаружения Зеркал"
"_GlobalMaskMirror_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskMirror_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskMirror_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskMirror_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskMirror_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskMirror_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskMirror_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskMirror_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskMirror_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskMirror_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskMirror_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskMirror_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskMirror_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskMirror_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskMirror_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskMirror_15","4A","4A","4A","4A","4A","4A","4A"
"m_start_GlobalMaskModifiersCamera","Camera Masking","Máscara en la cámara","Kameramaskierung","カメラマスキング","카메라 마스킹","摄像机遮罩","Маскирование Камеры"
"_GlobalMaskModifiersCameraEnable","Global Mask Camera Enable","Activar máscara en la cámara","Globale Maskenkamera aktivieren","グローバル マスク カメラの有効化","글로벌 마스크 카메라 활성화","启用全局遮罩摄像机","Включить Глобальную Маску Камеры"
"_GlobalMaskModifiersCameraInfo","Camera Masking only works in VRChat.","La máscara en la cámara solo funciona en VRChat.","Die Kameramaskierung funktioniert nur in VRChat.","カメラ マスキングは VRChat でのみ機能します。","카메라 마스킹은 VRChat에서만 작동합니다.","摄像机遮罩仅在 VRChat 中有效。","Маскирование Камеры работает только в VRChat."
"_GlobalMaskCamera_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskCamera_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskCamera_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskCamera_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskCamera_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskCamera_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskCamera_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskCamera_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskCamera_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskCamera_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskCamera_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskCamera_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskCamera_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskCamera_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskCamera_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskCamera_15","4A","4A","4A","4A","4A","4A","4A"
"m_start_GlobalMaskOptions","Options","Opciones de la máscara global","Optionen","オプション","옵션","全局遮罩选项","Параметры"
"_GlobalMaskOptionsEnable","Global Mask Options Enable","Activar opciones de máscara global","Globale Maskenoptionen aktivieren","グローバル マスク オプションを有効にする","글로벌 마스크 옵션 활성화","启用全局遮罩选项","Включить Параметры Глобальной Маски"
"_GlobalMaskOptionsType","Type","Tipo de opción","Typ","タイプ","유형","类型","Тип"
"_GlobalMaskSlider_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskSlider_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskSlider_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskSlider_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskSlider_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskSlider_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskSlider_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskSlider_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskSlider_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskSlider_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskSlider_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskSlider_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskSlider_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskSlider_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskSlider_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskSlider_15","4A","4A","4A","4A","4A","4A","4A"
"_GlobalMaskMinMaxSlider_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskMinMaxSlider_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskMinMaxSlider_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskMinMaxSlider_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskMinMaxSlider_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskMinMaxSlider_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskMinMaxSlider_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskMinMaxSlider_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskMinMaxSlider_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskMinMaxSlider_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskMinMaxSlider_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskMinMaxSlider_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskMinMaxSlider_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskMinMaxSlider_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskMinMaxSlider_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskMinMaxSlider_15","4A","4A","4A","4A","4A","4A","4A"
"_GlobalMaskToggleOn_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskToggleOn_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskToggleOn_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskToggleOn_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskToggleOn_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskToggleOn_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskToggleOn_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskToggleOn_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskToggleOn_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskToggleOn_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskToggleOn_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskToggleOn_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskToggleOn_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskToggleOn_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskToggleOn_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskToggleOn_15","4A","4A","4A","4A","4A","4A","4A"
"_GlobalMaskToggleOff_0","1R","1R","1R","1R","1R","1R","1R"
"_GlobalMaskToggleOff_1","1G","1G","1G","1G","1G","1G","1G"
"_GlobalMaskToggleOff_2","1B","1B","1B","1B","1B","1B","1B"
"_GlobalMaskToggleOff_3","1A","1A","1A","1A","1A","1A","1A"
"_GlobalMaskToggleOff_4","2R","2R","2R","2R","2R","2R","2R"
"_GlobalMaskToggleOff_5","2G","2G","2G","2G","2G","2G","2G"
"_GlobalMaskToggleOff_6","2B","2B","2B","2B","2B","2B","2B"
"_GlobalMaskToggleOff_7","2A","2A","2a","2a","2A","2A","2A"
"_GlobalMaskToggleOff_8","3R","3R","3R","3R","3R","3R","3R"
"_GlobalMaskToggleOff_9","3G","3G","3G","3G","3G","3G","3G"
"_GlobalMaskToggleOff_10","3B","3B","3B","3B","3B","3B","3B"
"_GlobalMaskToggleOff_11","3A","3A","3A","3A","3A","3A","3A"
"_GlobalMaskToggleOff_12","4R","4R","4R","4R","4R","4R","4R"
"_GlobalMaskToggleOff_13","4G","4G","4G","4G","4G","4G","4G"
"_GlobalMaskToggleOff_14","4B","4B","4B","4B","4B","4B","4B"
"_GlobalMaskToggleOff_15","4A","4A","4A","4A","4A","4A","4A"
"m_lightingCategory","Shading","Iluminación","Schattierungen","ライティング・影設定","라이팅 & 그림자 설정","光照 & 阴影设置","Шейдинг"
"m_start_PoiLightData","Light Data","Datos de iluminación","PP-Animationen","ライティング設定","라이팅 설정","光照数据","Данные Освещения"
"_LightingAOMaps","AO Maps (expand)","Mapas de oclusión ambiental (Expandir)","AO-Texturen (erweitern)","AO マップ (展開)","AO 맵 (확장)","AO 贴图 (展开)","Карты AO (развернуть) "
"_LightingAOMapsPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_LightingAOMapsUV","UV","UV","UV","UV","UV","UV","UV"
"_LightDataAOStrengthR","R Strength","Intensidad (Canal R)","R-Stärke","R 強さ","R 강도","R 强度","Сила R"
"_LightDataAOStrengthG","G Strength","Intensidad (Canal G)","G-Stärke","G 強さ","G 강도","G 强度","Сила G"
"_LightDataAOStrengthB","B Strength","Intensidad (Canal B)","B-Stärke","B 強さ","B 강도","B 强度","Сила B"
"_LightDataAOStrengthA","A Strength","Intensidad (Canal A)","Eine Stärke","A 強さ","A 강도","A 强度","Сила A"
"_LightingDetailShadowMaps","Shadow Map (expand)","Mapa de sombras del detalle (Expandir)","Detailschatten (erweitern)","ディテール影マップ (展開)","디테일 그림자 맵 (확장)","细节阴影贴图 (展开)","Карта Теней (развернуть)"
"_LightingDetailShadowMapsPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_LightingDetailShadowMapsUV","UV","UV","UV","UV","UV","UV","UV"
"_LightingDetailShadowStrengthR","R Strength","Intensidad (Canal R)","R-Stärke","R 強さ","R 강도","R 强度","Сила R"
"_LightingDetailShadowStrengthG","G Strength","Intensidad (Canal G)","G-Stärke","G 強さ","G 강도","G 强度","Сила G"
"_LightingDetailShadowStrengthB","B Strength","Intensidad (Canal B)","B-Stärke","B 強さ","B 강도","B 强度","Сила B"
"_LightingDetailShadowStrengthA","A Strength","Intensidad (Canal A)","Eine Stärke","A 強さ","A 강도","A 强度","Сила A"
"_LightingAddDetailShadowStrengthR","Additive R Strength","Intensidad aditiva (Canal R)","Additiv R-Stärke","付加的R 強さ","추가 R 강도","R 附加强度","Дополнительная Сила R"
"_LightingAddDetailShadowStrengthG","Additive G Strength","Intensidad aditiva (Canal G)","Zusätzliche G-Stärke","付加的G 強さ","추가 G 강도","G 附加强度","Дополнительная Сила G"
"_LightingAddDetailShadowStrengthB","Additive B Strength","Intensidad aditiva (Canal B)","Additiv B Stärke","付加的B 強さ","추가 B 강도","B 附加强度","Дополнительная Сила B"
"_LightingAddDetailShadowStrengthA","Additive A Strength","Intensidad aditiva (Canal A)","Additiv A Stärke","付加的A 強さ","추가 A 강도","A 附加强度","Дополнительная Сила A"
"_LightingShadowMasks","Shadow Masks (expand)","Máscaras de sombra (Expandir)","Schattenmasken (erweitern)","影 マスク (展開)","그림자 마스크 (확장)","阴影遮罩 (展开)","Маски Тени (развернуть)"
"_LightingShadowMasksPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_LightingShadowMasksUV","UV","UV","UV","UV","UV","UV","UV"
"_LightingShadowMaskStrengthR","R Strength","Intensidad (Canal R)","R-Stärke","R 強さ","R 강도","R 强度","Сила R"
"_LightingShadowMaskStrengthG","G Strength","Intensidad (Canal G)","G-Stärke","G 強さ","G 강도","G 强度","Сила G"
"_LightingShadowMaskStrengthB","B Strength","Intensidad (Canal B)","B-Stärke","B 強さ","B 강도","B 强度","Сила B"
"_LightingShadowMaskStrengthA","A Strength","Intensidad (Canal A)","Eine Stärke","A 強さ","A 강도","A 强度","Сила A"
"_LightingColorMode","Light Color Mode","Modo del color de la luz","Heller Farbmodus","ライトカラーモード","라이트 색상 모드","光照颜色模式","Режим Цвета Освещения"
"_LightingMapMode","Light Map Mode","Modo del mapa de la luz","Light-Map-Modus","ライト マップ モード","라이트 맵 모드","光照贴图模式","Режим Карты Освещения"
"_LightingDirectionMode","Light Direction Mode","Modo de dirección de la luz","Lichtrichtungsmodus","光方向モード","빛 방향 모드","光照方向模式","Режим Направления Освещения"
"_LightngForcedDirection","Forced Direction","Dirección forzada","Erzwungene Richtung","強制方向","강제 방향","强制方向","Принудительное Направление"
"_LightingForceColorEnabled","Force Light Color","Forzar color de la luz","Lichtfarbe erzwingen","ライトの色を強制する","라이트 색상 강제","强制光照颜色","Принудительный Цвет Освещения"
"_LightingForcedColor","Forced Color","Color forzado","Erzwungene Farbe","強制色","강제 색상","强制颜色","Принудительный Цвет"
"_Unlit_Intensity","Unlit_Intensity","Intensidad sin iluminación (Unlit)","Unlit_Intensity","Unlit 明るさ","Unlit 강도","无光照强度 (Unlit)","Интенсивность без освещения (Unlit_Intensity)"
"_LightingCapEnabled","Limit Brightness","Limitar brillo","Helligkeit begrenzen","明るさを制限する","밝기 제한","限制亮度","Ограничить Яркость"
"_LightingCap","Max Brightness","Brillo máximo","Maximale Helligkeit","明るさの上限","최대 밝기","最大亮度","Макс. Яркость"
"_LightingMinLightBrightness","Min Brightness","Brillo mínimo","Minimale Helligkeit","明るさの下限","최소 밝기","最小亮度","Мин. Яркость"
"_LightingIndirectUsesNormals","Indirect Uses Normals","La iluminación indirecta usa normales","Indirekt verwendet Normalen","ノーマル(法線)を間接的に使用","간접 노멀 사용","间接光使用法线","Использовать Нормали Для Непрямого Освещения"
"_LightingCastedShadows","Receive Casted Shadows","Recibir sombras proyectadas","Erhalten Sie Casted Shadows","投影された影を受け取る","투사된 그림자 받기","接收投影阴影","Получать Отбрасываемые Тени"
"_LightingShadowSoftness","Casted Shadow Softness","Suavidad de sombra proyectada","Casted Shadow Weichheit","投影された影のソフトネス","투사된 그림자 부드러움","投影阴影柔和度","Мягкость Отбрасываемых Теней"
"_LightingMonochromatic","Grayscale Lighting","Iluminación de monocromática","Graustufenbeleuchtung","影色への環境光影響度","흑백 조명","单色光照 (黑白)","Монохромное Освещение"
"_LightingVertexLightingEnabled","Vertex lights (Non-Important)","Iluminación de vértices (No importantes)","Scheitelpunktlichter (Unwichtig)","頂点ライト (重要ではない)","버텍스 라이트 (중요하지 않음)","顶点光照 (不重要)","Вертексный свет (неважно)"
"_LightingAdditiveEnable","Pixel lights (Important)","Iluminación de píxeles (Importantes)","Pixellichter (Wichtig)","ピクセル ライト (重要)","픽셀 라이트 (중요)","像素光照 (重要)","Pixel Lights (Важно)"
"_DisableDirectionalInAdd","Ignore Directional Lights","Ignorar luz direccional","Richtung ignorieren","指向性ライトを無視","방향성 라이트 무시","忽略方向光","Игнорировать Направленные Источники Освещения"
"_LightingAdditiveLimited","Limit Brightness","Limitar brillo","Helligkeit begrenzen","明るさを制限する","밝기 제한","限制亮度","Ограничить Яркость"
"_LightingAdditiveLimit","Max Brightness","Brillo máximo","Maximale Helligkeit","明るさの上限","최대 밝기","最大亮度","Макс. Яркость"
"_LightingAdditiveMonochromatic","Grayscale Lighting","Iluminación monocromática","Graustufenbeleuchtung","影色への環境光影響度","흑백 조명","单色光照 (黑白)","Монохромное Освещение"
"_LightingAdditivePassthrough","Point Light Passthrough","Paso de luz puntual (Point Light)","Point Light Passthrough","ポイント ライト パススルー","포인트 라이트 패스스루","点光源穿透","Пропуск Точечных Источников Света"
"_LightingAdditiveAttenCurve","Light Attenuation Curve","Curva de atenuación de luz","Licht-Dämpfungskurve","ライト減衰カーブ","빛 감쇠 곡선","光照衰减曲线","Кривая Затухания Света"
"_LightDataDebugEnabled","Debug","Activar depuración","Debuggen","デバッグ","디버그","调试","Отладка"
"_LightingDebugVisualize","Visualize","Visualizar datos de iluminación","Visualisieren","視覚化する","시각화","可视化","Визуализировать"
"m_start_PoiShading","Shading","Sombreado","Schattierungen","影設定","그림자 설정","阴影设置","Шейдинг"
"_ShadingEnabled","Enable Shading","Activar sombreado","Schattierung aktivieren","影設定を有効にする","그림자 설정 활성화","启用阴影","Включить Шейдинг"
"_LightingMode","Lighting Type","Tipo de iluminación","Beleuchtungstyp","光源の種類","조명 유형","光照类型","Тип Освещения"
"_LightingShadowColor","Shadow Tint","Color de la sombra","Schattentönung","影の色調整","그림자 틴트","阴影色调","Оттенок Тени"
"_ToonRamp","Lighting Ramp","Rampa de iluminación","Beleuchtungsrampe","ライティングランプ","라이팅 램프","光照渐变 (Ramp)","Рампа Освещения"
"_ShadowOffset","Ramp Offset","Desplazamiento de la rampa","Rampen-Offset","ランプ オフセット","램프 오프셋","渐变偏移","Смещение Рампы"
"_LightingWrappedWrap","Wrap","Envoltura","Wickeln","包む","감싸기","环绕 (Wrap)","Обернуть (Wrap)"
"_LightingWrappedNormalization","Normalization","Normalización","Normalisierung","正規化","정규화","标准化","Нормализация"
"_LightingMulitlayerNonLinear","Non Linear Lightmap","Borde no lineal","Nicht lineare Kante","非リニアエッジ","비선형 가장자리","非线性边缘","Нелинейный Lightmap"
"_ShadowColorTex","Color Tex","Textura de color de la sombra","Schattenfarbe","影の色","그림자 색상","阴影颜色纹理","Текстура Цвета Тени"
"_ShadowColorTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ShadowColorTexUV","UV","UV","UV","UV","UV","UV","UV"
"_ShadowColor","Color","Color de la sombra","Schattenfarbe","影の色","그림자 색상","阴影颜色","Цвет"
"_MultilayerMathBlurMap","Blur Map","Mapa de desenfoque","Textur verwischen","ぼかしマップ","블러 맵","模糊贴图","Карта Размытия"
"_MultilayerMathBlurMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_MultilayerMathBlurMapUV","UV","UV","UV","UV","UV","UV","UV"
"_ShadowBorder","Border","Borde de la sombra","Grenze","1 番目の境界","경계","边界","Граница"
"_ShadowBlur","Blur","Desenfoque de la sombra","Verwischen","ぼかし","블러","模糊","Размытие"
"_Shadow2ndColorTex","Color Tex","Textura de color de la segunda sombra","2. Farbe","2色目","두 번째 색상","第 2 阴影颜色纹理","Текстура Цвета Тени"
"_Shadow2ndColorTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_Shadow2ndColorTexUV","UV","UV","UV","UV","UV","UV","UV"
"_Shadow2ndColor","Color","Color de la segunda sombra","2. Farbe","2色目","두 번째 색상","第 2 阴影颜色","Цвет"
"_Shadow2ndBorder","Border","Borde de la segunda sombra","2. Grenze","2 番目の境界","두 번째 경계","第 2 边界","Граница"
"_Shadow2ndBlur","Blur","Desenfoque de la segunda sombra","2. Unschärfe","2 番目のぼかし","두 번째 블러","第 2 模糊","Размытие"
"_Shadow3rdColorTex","Color Tex","Textura de color de la tercera sombra","3. Farbe","3色目","세 번째 색상","第 3 阴影颜色纹理","Текстура Цвета Тени"
"_Shadow3rdColorTexPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_Shadow3rdColorTexUV","UV","UV","UV","UV","UV","UV","UV"
"_Shadow3rdColor","Color","Color de la tercera sombra","3. Farbe","3色目","세 번째 색상","第 3 阴影颜色","Цвет"
"_Shadow3rdBorder","Border","Borde de la tercera sombra","3. Grenze","3 番目の境界","세 번째 경계","第 3 边界","Граница"
"_Shadow3rdBlur","Blur","Desenfoque de la tercera sombra","3. Unschärfe","3 番目のぼかし","세 번째 블러","第 3 模糊","Размытие"
"_ShadowBorderColor","Color","Color del borde de la sombra","Randfarbe","境界の色","경계 색상","阴影边界颜色","Цвет"
"_ShadowBorderRange","Border Range","Rango del borde","Grenzbereich","境界範囲","경계 범위","边界范围","Диапазон Границы"
"_ShadowMainStrength","Base Color Blend","Contraste","Kontrast","対比","대비","对比度","Смешать Базовый Цвет"
"_LightingGradientStart","Gradient Start","Inicio del gradiente","Gradientenstart","グラデーションの開始地点","그라데이션 시작","渐变开始","Начаго Градиента"
"_LightingGradientEnd","Gradient End","Final del gradiente","Gradient Ende","グラデーションの終了地点","그라데이션 끝","渐变结束","Конец Градиента"
"_1st_ShadeColor","1st ShadeColor","Color del primer sombreado","1. Schattenfarbe","1番目の影色","첫 번째 그림자 색상","第 1 阴影颜色","Первый Цвет Тени (ShadeColor)"
"_1st_ShadeMap","1st ShadeMap","Mapa del primer sombreado","1. SchattenTextur","1 番目の影マップ","첫 번째 그림자 맵","第 1 阴影贴图","Первая Карта Тени (ShadeMap)"
"_1st_ShadeMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_1st_ShadeMapUV","UV","UV","UV","UV","UV","UV","UV"
